Kuntanumero;Kunnan nimi;Kunnan nimi ruotsiksi;Maakuntanro;Maakunnan nimi
508;Mänttä-Vilppula;Mänttä-Vilppula;5;Pirkanmaa
536;Nokia;Nokia;5;Pirkanmaa
562;Orivesi;Orivesi;5;Pirkanmaa
581;Parkano;Parkano;5;Pirkanmaa
604;Pirkkala;Birkala;5;Pirkanmaa
619;Punkalaidun;Punkalaidun;5;Pirkanmaa
635;Pälkäne;Pälkäne;5;Pirkanmaa
702;Ruovesi;Ruovesi;5;Pirkanmaa
790;Sastamala;Sastamala;5;Pirkanmaa
837;Tampere;Tammerfors;5;Pirkanmaa
887;Urjala;Urjala;5;Pirkanmaa
908;Valkeakoski;Valkeakoski;5;Pirkanmaa
922;Vesilahti;Vesilahti;5;Pirkanmaa
936;Virrat;Virdois;5;Pirkanmaa
980;Ylöjärvi;Ylöjärvi;5;Pirkanmaa
16;Asikkala;Asikkala;6;Päijät-Häme
81;Hartola;Gustav Adolfs;6;Päijät-Häme
98;Hollola;Hollola;6;Päijät-Häme
111;Heinola;Heinola;6;Päijät-Häme
142;Iitti;Itis;6;Päijät-Häme
316;Kärkölä;Kärkölä;6;Päijät-Häme
398;Lahti;Lahtis;6;Päijät-Häme
560;Orimattila;Orimattila;6;Päijät-Häme
576;Padasjoki;Padasjoki;6;Päijät-Häme
781;Sysmä;Sysmä;6;Päijät-Häme
75;Hamina;Fredrikshamn;7;Kymenlaakso
285;Kotka;Kotka;7;Kymenlaakso
286;Kouvola;Kouvola;7;Kymenlaakso
489;Miehikkälä;Miehikkälä;7;Kymenlaakso
624;Pyhtää;Pyttis;7;Kymenlaakso
935;Virolahti;Vederlax;7;Kymenlaakso
153;Imatra;Imatra;8;Etelä-Karjala
405;Lappeenranta;Villmanstrand;8;Etelä-Karjala
416;Lemi;Lemi;8;Etelä-Karjala
441;Luumäki;Luumäki;8;Etelä-Karjala
580;Parikkala;Parikkala;8;Etelä-Karjala
689;Rautjärvi;Rautjärvi;8;Etelä-Karjala
700;Ruokolahti;Ruokolax;8;Etelä-Karjala
739;Savitaipale;Savitaipale;8;Etelä-Karjala
831;Taipalsaari;Taipalsaari;8;Etelä-Karjala
46;Enonkoski;Enonkoski;9;Etelä-Savo
97;Hirvensalmi;Hirvensalmi;9;Etelä-Savo
178;Juva;Juva;9;Etelä-Savo
213;Kangasniemi;Kangasniemi;9;Etelä-Savo
491;Mikkeli;S:t Michel;9;Etelä-Savo
507;Mäntyharju;Mäntyharju;9;Etelä-Savo
588;Pertunmaa;Pertunmaa;9;Etelä-Savo
593;Pieksämäki;Pieksämäki;9;Etelä-Savo
623;Puumala;Puumala;9;Etelä-Savo
681;Rantasalmi;Rantasalmi;9;Etelä-Savo
740;Savonlinna;Nyslott;9;Etelä-Savo
768;Sulkava;Sulkava;9;Etelä-Savo
140;Iisalmi;Idensalmi;10;Pohjois-Savo
171;Joroinen;Jorois;10;Pohjois-Savo
204;Kaavi;Kaavi;10;Pohjois-Savo
239;Keitele;Keitele;10;Pohjois-Savo
263;Kiuruvesi;Kiuruvesi;10;Pohjois-Savo
297;Kuopio;Kuopio;10;Pohjois-Savo
402;Lapinlahti;Lapinlahti;10;Pohjois-Savo
420;Leppävirta;Leppävirta;10;Pohjois-Savo
595;Pielavesi;Pielavesi;10;Pohjois-Savo
686;Rautalampi;Rautalampi;10;Pohjois-Savo
687;Rautavaara;Rautavaara;10;Pohjois-Savo
749;Siilinjärvi;Siilinjärvi;10;Pohjois-Savo
762;Sonkajärvi;Sonkajärvi;10;Pohjois-Savo
778;Suonenjoki;Suonenjoki;10;Pohjois-Savo
844;Tervo;Tervo;10;Pohjois-Savo
857;Tuusniemi;Tuusniemi;10;Pohjois-Savo
915;Varkaus;Varkaus;10;Pohjois-Savo
921;Vesanto;Vesanto;10;Pohjois-Savo
925;Vieremä;Vieremä;10;Pohjois-Savo
90;Heinävesi;Heinävesi;11;Pohjois-Karjala
146;Ilomantsi;Ilomants;11;Pohjois-Karjala
167;Joensuu;Joensuu;11;Pohjois-Karjala
176;Juuka;Juga;11;Pohjois-Karjala
260;Kitee;Kides;11;Pohjois-Karjala
276;Kontiolahti;Kontiolax;11;Pohjois-Karjala
309;Outokumpu;Outokumpu;11;Pohjois-Karjala
422;Lieksa;Lieksa;11;Pohjois-Karjala
426;Liperi;Libelits;11;Pohjois-Karjala
541;Nurmes;Nurmes;11;Pohjois-Karjala
607;Polvijärvi;Polvijärvi;11;Pohjois-Karjala
707;Rääkkylä;Rääkkylä;11;Pohjois-Karjala
848;Tohmajärvi;Tohmajärvi;11;Pohjois-Karjala
77;Hankasalmi;Hankasalmi;12;Keski-Suomi
172;Joutsa;Joutsa;12;Keski-Suomi
179;Jyväskylä;Jyväskylä;12;Keski-Suomi
182;Jämsä;Jämsä;12;Keski-Suomi
216;Kannonkoski;Kannonkoski;12;Keski-Suomi
226;Karstula;Karstula;12;Keski-Suomi
249;Keuruu;Keuru;12;Keski-Suomi
256;Kinnula;Kinnula;12;Keski-Suomi
265;Kivijärvi;Kivijärvi;12;Keski-Suomi
275;Konnevesi;Konnevesi;12;Keski-Suomi
312;Kyyjärvi;Kyyjärvi;12;Keski-Suomi
410;Laukaa;Laukas;12;Keski-Suomi
435;Luhanka;Luhanka;12;Keski-Suomi
495;Multia;Multia;12;Keski-Suomi
500;Muurame;Muurame;12;Keski-Suomi
592;Petäjävesi;Petäjävesi;12;Keski-Suomi
601;Pihtipudas;Pihtipudas;12;Keski-Suomi
729;Saarijärvi;Saarijärvi;12;Keski-Suomi
850;Toivakka;Toivakka;12;Keski-Suomi
892;Uurainen;Uurainen;12;Keski-Suomi
931;Viitasaari;Viitasaari;12;Keski-Suomi
992;Äänekoski;Äänekoski;12;Keski-Suomi
5;Alajärvi;Alajärvi;13;Etelä-Pohjanmaa
10;Alavus;Alavo;13;Etelä-Pohjanmaa
52;Evijärvi;Evijärvi;13;Etelä-Pohjanmaa
145;Ilmajoki;Ilmola;13;Etelä-Pohjanmaa
151;Isojoki;Storå;13;Etelä-Pohjanmaa
152;Isokyrö;Storkyro;13;Etelä-Pohjanmaa
218;Karijoki;Bötom;13;Etelä-Pohjanmaa
232;Kauhajoki;Kauhajoki;13;Etelä-Pohjanmaa
233;Kauhava;Kauhava;13;Etelä-Pohjanmaa
300;Kuortane;Kuortane;13;Etelä-Pohjanmaa
301;Kurikka;Kurikka;13;Etelä-Pohjanmaa
403;Lappajärvi;Lappajärvi;13;Etelä-Pohjanmaa
408;Lapua;Lappo;13;Etelä-Pohjanmaa
743;Seinäjoki;Seinäjoki;13;Etelä-Pohjanmaa
759;Soini;Soini;13;Etelä-Pohjanmaa
846;Teuva;Östermark;13;Etelä-Pohjanmaa
934;Vimpeli;Vindala;13;Etelä-Pohjanmaa
989;Ähtäri;Etseri;13;Etelä-Pohjanmaa
231;Kaskinen;Kaskö;14;Pohjanmaa
280;Korsnäs;Korsnäs;14;Pohjanmaa
287;Kristiinankaupunki;Kristinestad;14;Pohjanmaa
288;Kruunupyy;Kronoby;14;Pohjanmaa
399;Laihia;Laihela;14;Pohjanmaa
440;Luoto;Larsmo;14;Pohjanmaa
475;Maalahti;Malax;14;Pohjanmaa
499;Mustasaari;Korsholm;14;Pohjanmaa
545;Närpiö;Närpes;14;Pohjanmaa
598;Pietarsaari;Jakobstad;14;Pohjanmaa
599;Pedersören kunta;Pedersöre;14;Pohjanmaa
893;Uusikaarlepyy;Nykarleby;14;Pohjanmaa
905;Vaasa;Vasa;14;Pohjanmaa
946;Vöyri;Vörå;14;Pohjanmaa
74;Halsua;Halso;15;Keski-Pohjanmaa
217;Kannus;Kannus;15;Keski-Pohjanmaa
236;Kaustinen;Kaustby;15;Keski-Pohjanmaa
272;Kokkola;Karleby;15;Keski-Pohjanmaa
421;Lestijärvi;Lestijärvi;15;Keski-Pohjanmaa
584;Perho;Perho;15;Keski-Pohjanmaa
849;Toholampi;Toholampi;15;Keski-Pohjanmaa
924;Veteli;Vetil;15;Keski-Pohjanmaa
9;Alavieska;Alavieska;16;Pohjois-Pohjanmaa
69;Haapajärvi;Haapajärvi;16;Pohjois-Pohjanmaa
71;Haapavesi;Haapavesi;16;Pohjois-Pohjanmaa
72;Hailuoto;Karlö;16;Pohjois-Pohjanmaa
139;Ii;Ijo;16;Pohjois-Pohjanmaa
208;Kalajoki;Kalajoki;16;Pohjois-Pohjanmaa
244;Kempele;Kempele;16;Pohjois-Pohjanmaa
305;Kuusamo;Kuusamo;16;Pohjois-Pohjanmaa
317;Kärsämäki;Kärsämäki;16;Pohjois-Pohjanmaa
425;Liminka;Limingo;16;Pohjois-Pohjanmaa
436;Lumijoki;Lumijoki;16;Pohjois-Pohjanmaa
483;Merijärvi;Merijärvi;16;Pohjois-Pohjanmaa
494;Muhos;Muhos;16;Pohjois-Pohjanmaa
535;Nivala;Nivala;16;Pohjois-Pohjanmaa
563;Oulainen;Oulainen;16;Pohjois-Pohjanmaa
564;Oulu;Uleåborg;16;Pohjois-Pohjanmaa
615;Pudasjärvi;Pudasjärvi;16;Pohjois-Pohjanmaa
625;Pyhäjoki;Pyhäjoki;16;Pohjois-Pohjanmaa
626;Pyhäjärvi;Pyhäjärvi;16;Pohjois-Pohjanmaa
630;Pyhäntä;Pyhäntä;16;Pohjois-Pohjanmaa
678;Raahe;Brahestad;16;Pohjois-Pohjanmaa
691;Reisjärvi;Reisjärvi;16;Pohjois-Pohjanmaa
746;Sievi;Sievi;16;Pohjois-Pohjanmaa
748;Siikajoki;Siikajoki;16;Pohjois-Pohjanmaa
785;Vaala;Vaala;16;Pohjois-Pohjanmaa
791;Siikalatva;Siikalatva;16;Pohjois-Pohjanmaa
832;Taivalkoski;Taivalkoski;16;Pohjois-Pohjanmaa
859;Tyrnävä;Tyrnävä;16;Pohjois-Pohjanmaa
889;Utajärvi;Utajärvi;16;Pohjois-Pohjanmaa
977;Ylivieska;Ylivieska;16;Pohjois-Pohjanmaa
105;Hyrynsalmi;Hyrynsalmi;17;Kainuu
205;Kajaani;Kajana;17;Kainuu
290;Kuhmo;Kuhmo;17;Kainuu
578;Paltamo;Paltamo;17;Kainuu
620;Puolanka;Puolanka;17;Kainuu
697;Ristijärvi;Ristijärvi;17;Kainuu
765;Sotkamo;Sotkamo;17;Kainuu
777;Suomussalmi;Suomussalmi;17;Kainuu
47;Enontekiö;Enontekis;18;Lappi
148;Inari;Enare;18;Lappi
240;Kemi;Kemi;18;Lappi
241;Keminmaa;Keminmaa;18;Lappi
261;Kittilä;Kittilä;18;Lappi
273;Kolari;Kolari;18;Lappi
320;Kemijärvi;Kemijärvi;18;Lappi
498;Muonio;Muonio;18;Lappi
583;Pelkosenniemi;Pelkosenniemi;18;Lappi
614;Posio;Posio;18;Lappi
683;Ranua;Ranua;18;Lappi
698;Rovaniemi;Rovaniemi;18;Lappi
732;Salla;Salla;18;Lappi
742;Savukoski;Savukoski;18;Lappi
751;Simo;Simo;18;Lappi
758;Sodankylä;Sodankylä;18;Lappi
845;Tervola;Tervola;18;Lappi
851;Tornio;Torneå;18;Lappi
854;Pello;Pello;18;Lappi
890;Utsjoki;Utsjoki;18;Lappi
976;Ylitornio;Övertorneå;18;Lappi
35;Brändö;Brändö;19;Ahvenanmaa
43;Eckerö;Eckerö;19;Ahvenanmaa
60;Finström;Finström;19;Ahvenanmaa
62;Föglö;Föglö;19;Ahvenanmaa
65;Geta;Geta;19;Ahvenanmaa
76;Hammarland;Hammarland;19;Ahvenanmaa
170;Jomala;Jomala;19;Ahvenanmaa
295;Kumlinge;Kumlinge;19;Ahvenanmaa
318;Kökar;Kökar;19;Ahvenanmaa
417;Lemland;Lemland;19;Ahvenanmaa
438;Lumparland;Lumparland;19;Ahvenanmaa
478;Maarianhamina;Mariehamn;19;Ahvenanmaa
736;Saltvik;Saltvik;19;Ahvenanmaa
766;Sottunga;Sottunga;19;Ahvenanmaa
771;Sund;Sund;19;Ahvenanmaa
941;Vårdö;Vårdö;19;Ahvenanmaa
